time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1760471331427367000,-2.100633056640625,109.18041715994325,-1,-1,38.525576679995865,56.590417007355356,-1,6.918358483383342,30,-8.874584594333013,-1
1760471333559500000,0.0315,109.18041715994325,-1,-1,38.525576679995865,56.590417007355356,-1,6.918358483383342,30,-8.874584594333013,-1
1760471333559903200,0.0319033203125,109.18041715994325,-1,-1,38.525576679995865,56.590417007355356,-1,6.918358483383342,30,-8.874584594333013,-1
1760471333580195800,0.05219580078125,109.18150434866395,-1,-1,38.525576679995865,56.59150419607606,-1,6.918358483383342,30.000056406728074,-8.874584594333013,-1
1760471339566551000,6.038551025390625,109.18041715994325,-1,-1,38.525576679995865,56.590417007355356,-1,6.918358483383342,30,-8.874584594333013,-1
1760471341111043000,7.58304296875,109.18041715994325,-1,-1,38.525576679995865,56.590417007355356,-1,6.918358483383342,30,-8.874584594333013,-1
1760471341731454000,8.203453857421875,107.9622802734375,1.4800000190734863,80.3974941918706,38.525576865904384,55.37228012084961,137.8125,10.085500624992717,12,-8.874584754805568,0.9900000095367432
1760471342733419800,9.205419677734374,104.6385498046875,1.2899999618530273,77.52498300434087,38.525558712371094,52.04854965209961,138.1640625,10.347580266490791,3,-8.87458883371289,0.9900000095367432
1760471343734374100,10.2063740234375,104.63983154296875,0.9200000166893005,67.40667929618145,38.52553786341393,52.04983139038086,92.4609375,10.84274534340677,3,-8.874570819049469,0.9300000071525574
1760471344734697200,11.206697265625,104.82769775390625,0.7599999904632568,48.920478609407624,38.52557904970152,52.23769760131836,92.4609375,11.257234942452634,3,-8.874503577428214,0.8199999928474426
1760471345732281900,12.20428173828125,104.35931396484375,0.8399999737739563,48.920478609407624,38.525570293123145,51.76931381225586,92.4609375,11.414841500451217,3,-8.874531460995092,0.20000000298023224
1760471346728079000,13.2000791015625,105.078857421875,0.8500000238418579,48.920478609407624,38.52559788029626,52.48885726928711,92.4609375,11.749630229398367,3,-8.874540762144123,0.4399999976158142
1760471347735637000,14.207636962890625,104.42181396484375,0.7400000095367432,48.920478609407624,38.525606172740964,51.83181381225586,92.4609375,10.967480807729203,3,-8.874541835117794,0.4399999976158142
1760471348730617000,15.2026171875,104.25408935546875,0.7400000095367432,48.920478609407624,38.52559895581326,51.66408920288086,92.4609375,11.286656456367426,3,-8.874538525972508,0
1760471349734242000,16.206241943359377,104.66656494140625,0.6000000238418579,48.920478609407624,38.525606232233876,52.07656478881836,92.4609375,11.64308295143362,3,-8.874573659488654,0.20999999344348907
